date,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345,T2400
20170101,3320.447125,3178.631315,3124.84089,3034.912085,2998.09683,2915.25379,2902.241925,2875.339635,2849.8784,2797.32459,2764.73522,2765.874175,2723.85159,2678.66142,2680.04557,2698.47975,2635.774525,2681.4092,2681.65962,2662.98338,2692.52268,2676.96643,2739.3079,2767.29965,2771.3932,2818.22212,2900.754225,2963.592925,3015.7408,3096.060925,3134.60271,3254.187,3347.42,3438.1963,3548.3963,3678.93789,3790.1409,3968.14677,4009.5909,4085.47082,4174.1765,4181.134585,4249.9884,4286.48113,4317.99073,4385.20418,4358.538725,4310.894515,4269.934125,4224.749275,4198.34355,4120.970135,4099.59238,4096.8047,4077.647665,4008.64888,3998.069015,3948.89635,3948.285785,3952.53675,3921.00245,3901.326715,3859.013145,3860.655695,3870.941725,3940.8907,3982.50488,4020.510865,4047.19,4128.28675,4166.0217,4232.2728,4292.2007,4342.8338,4363.06025,4362.40323,4309.0803,4328.14015,4346.88783,4319.6196,4281.346,4286.3658,4253.218685,4215.427875,4200.08262,4136.3152,4079.78355,3984.63307,3927.8909,3842.86457,3750.532265,3640.557035,3580.71074,3482.491475,3359.28512,3289.004405,3143.32827
20170102,3143.32827,3061.86064,3001.842015,2944.933215,2859.15097,2818.876385,2803.384165,2786.72088,2724.4822,2678.107475,2677.548115,2636.61366,2623.55743,2614.647665,2653.378975,2647.28843,2616.39975,2580.81085,2604.526365,2584.11305,2599.62769,2629.634295,2643.17417,2713.112315,2713.428665,2786.4545,2872.454865,2923.75116,2980.71202,3038.92935,3106.09207,3244.885075,3375.656375,3533.43475,3669.59882,3835.10782,3926.12732,4015.333175,4153.4399,4173.4336,4265.8914,4268.6084,4274.9582,4348.21555,4337.432385,4391.63245,4374.373325,4317.2731,4249.30915,4204.731065,4144.975685,4081.5496,4049.0691,4040.794885,4001.211235,3984.429865,3959.212685,3934.188925,3924.35595,3904.340875,3910.358175,3892.970135,3872.55302,3893.95348,3900.931515,3971.394725,3972.38928,4014.22823,4042.51315,4112.301385,4204.65915,4263.541575,4376.80295,4434.6171,4472.18808,4473.74,4437.757515,4474.520425,4464.3141,4458.4849,4423.990875,4449.346375,4390.4041,4331.0158,4332.51262,4279.52675,4199.976885,4106.797085,3995.90083,3883.38682,3773.22767,3704.070615,3593.79737,3478.56275,3367.92214,3320.770505,3181.321525
20170103,3181.321525,3114.58849,3024.2376,2973.33166,2910.744995,2849.11536,2831.91637,2765.36355,2736.748885,2740.26151,2751.09512,2696.821335,2725.11376,2703.57802,2678.331295,2657.333255,2651.4139,2656.60052,2672.21035,2668.29673,2669.45041,2699.28915,2713.16542,2819.214775,2833.04497,2928.75557,3009.99007,3138.849875,3247.848885,3334.9009,3434.57965,3595.1648,3777.2912,4011.803165,4209.23473,4380.5374,4537.4888,4652.1956,4738.24052,4808.24222,4891.43125,4890.709915,4913.509915,4917.0974,4935.783425,4961.910325,4938.71085,4867.041615,4720.77363,4652.40517,4615.483135,4545.3339,4472.93345,4495.546585,4477.363015,4500.703375,4478.16605,4478.37695,4408.69825,4422.00395,4464.753,4473.243815,4421.174315,4432.994975,4474.795925,4534.309625,4566.500185,4578.0614,4592.7218,4640.88642,4651.25377,4697.64607,4719.039215,4803.80515,4827.92223,4769.88635,4781.18185,4742.45377,4727.033465,4676.87318,4670.40995,4662.688635,4640.353375,4567.153785,4505.24295,4427.33155,4315.2211,4233.06453,4136.36213,3973.8747,3894.772285,3787.776825,3692.64563,3567.3241,3466.404365,3366.671275,3258.0706
20170104,3258.0706,3160.08038,3100.90488,3023.623615,2988.548285,2962.873015,2928.64841,2912.35857,2894.914385,2880.94131,2799.04238,2798.57916,2751.061965,2745.402625,2754.04563,2753.31641,2738.00507,2758.32899,2698.060325,2751.383255,2758.496665,2760.98272,2772.202315,2829.093065,2869.37734,2981.90693,3073.593235,3151.597165,3296.248155,3398.379425,3479.418415,3628.20561,3750.372475,4005.819685,4209.834085,4422.88878,4539.5883,4666.19765,4705.886275,4784.913925,4865.8145,4865.75465,4895.30725,4896.972125,4958.791285,5000.635365,4965.859,4901.276385,4758.52245,4724.467325,4645.90584,4600.38165,4561.6321,4603.4739,4554.98685,4571.0124,4592.470715,4586.25857,4569.84105,4537.0879,4539.99623,4584.90995,4549.74437,4555.5141,4553.8516,4616.41575,4647.71217,4643.7197,4642.35075,4729.89515,4706.82345,4716.186365,4760.165,4774.82255,4790.23307,4750.56145,4747.67459,4744.033715,4697.89288,4638.9146,4667.80733,4624.87645,4588.45535,4560.64752,4513.9402,4444.48133,4353.483965,4275.7562,4154.49345,4028.128915,3871.660495,3772.6742,3673.482325,3586.23518,3472.535,3357.86335,3264.47094
20170105,3264.47094,3183.78858,3118.210365,3084.67318,3017.66132,2982.498115,2924.58127,2881.262125,2848.47525,2840.89634,2807.6376,2806.982575,2818.00913,2784.60124,2785.93162,2750.74115,2754.53431,2751.64251,2774.61465,2764.99495,2766.90255,2790.230275,2803.03295,2896.145965,2871.0026,2977.272165,3101.41351,3198.442425,3317.669515,3442.923595,3515.63593,3633.452175,3793.58636,4069.9387,4217.26185,4389.494475,4514.2157,4659.522285,4749.0025,4796.33568,4860.11165,4920.48035,4943.899275,4995.33845,5031.082675,5075.1869,5049.89885,4982.459585,4898.240375,4830.66165,4785.084165,4739.817615,4723.658875,4707.78675,4708.52661,4679.63825,4679.44445,4693.78755,4669.63,4671.32955,4665.832185,4676.5023,4668.54263,4682.203915,4720.6032,4756.92835,4834.39458,4845.71763,4901.815415,4960.8715,4948.63398,4906.795885,4873.95277,4887.518485,4897.839,4873.27922,4814.115215,4791.3155,4811.35613,4739.844975,4713.01498,4664.21215,4613.26498,4616.881725,4536.554,4430.09073,4399.06962,4247.1593,4139.009875,4007.534625,3887.92972,3815.221375,3672.40835,3623.053665,3539.87955,3455.216785,3439.066785
20170106,3319.83599,3191.304885,3161.234915,3061.605565,3002.88711,2960.95886,2972.68015,2911.17715,2919.87744,2863.13755,2819.33837,2820.29692,2824.83165,2833.15308,2791.05573,2794.047375,2779.35705,2804.83624,2766.22444,2789.30298,2783.18802,2798.70665,2832.719785,2891.09909,2951.14574,3073.15139,3236.0477,3385.27446,3475.755215,3585.110285,3649.01612,3706.88385,3858.51126,4069.20397,4239.1261,4428.47915,4511.858465,4686.94147,4726.08812,4810.60715,4878.42005,4930.427135,4982.43137,4977.68365,5006.73655,5088.25605,5065.06788,5044.83307,4916.902175,4874.96813,4807.38665,4781.458585,4777.07823,4747.55033,4703.914835,4687.56068,4720.25588,4685.26225,4665.952835,4690.96605,4711.91089,4701.31535,4684.06715,4676.956685,4702.62388,4767.443235,4809.077175,4819.1942,4825.71975,4845.877135,4877.77975,4896.424735,4842.05215,4820.13375,4818.03862,4765.71072,4760.67325,4739.07025,4719.48885,4701.7704,4662.78791,4641.2706,4623.29888,4533.18435,4497.882635,4403.835865,4354.84218,4273.37227,4158.93755,4004.255985,3921.245175,3801.91482,3692.2225,3631.11945,3534.21869,3429.21823,3340.63814
20170107,3340.63814,3244.76053,3121.2269,3101.80377,3026.86188,2971.774135,2934.842885,2904.6117,2882.42255,2846.061775,2828.7067,2818.30857,2813.542135,2769.624775,2740.81631,2748.032985,2740.226075,2739.79069,2752.69245,2759.50813,2737.595715,2746.64,2780.73531,2842.9377,2888.954845,2973.565835,3071.67243,3075.603625,3170.714965,3250.246875,3283.289775,3408.12405,3491.198985,3755.083715,3838.54055,3992.47988,4142.44555,4284.34515,4363.7737,4445.411,4490.225065,4556.604035,4606.422415,4628.2898,4654.5003,4720.588,4752.0121,4655.1672,4589.96813,4525.156185,4476.945015,4488.93335,4428.81507,4433.3194,4397.53195,4359.537935,4331.756515,4306.2816,4305.706185,4293.19383,4275.6973,4266.0548,4231.4729,4225.916825,4284.8173,4254.1247,4330.98825,4317.697085,4366.75575,4383.85062,4430.238265,4468.239215,4534.6065,4609.22558,4671.131475,4643.949315,4623.27988,4618.06685,4596.6054,4538.38978,4551.8376,4538.9974,4491.908465,4487.95295,4450.23187,4392.296215,4345.119975,4237.61845,4159.96602,4045.288765,3938.1965,3827.58268,3727.9273,3689.00333,3573.73812,3447.15081,3345.05108
20170108,3345.05108,3263.85933,3157.11695,3094.96985,3049.11221,2966.78711,2963.63653,2896.80213,2913.985635,2899.152715,2841.38445,2832.63742,2799.571625,2793.790875,2751.24959,2756.99652,2749.63326,2745.92864,2738.95716,2722.86397,2726.37498,2772.50945,2793.296685,2834.53685,2892.95387,2958.39576,3024.79791,3064.83756,3136.47136,3171.32154,3280.13264,3364.2768,3489.508365,3666.07831,3824.47713,3939.469975,4024.5325,4151.61685,4212.92605,4289.4818,4331.060165,4360.6501,4389.50977,4439.90385,4425.0506,4434.35205,4463.8182,4399.43765,4308.910535,4236.35248,4165.54195,4115.6565,4077.855525,4087.93265,4011.28665,4015.1541,3958.918565,3921.163,3914.11362,3913.036985,3948.40368,3923.7489,3910.37005,3894.4642,3896.1096,3960.5595,4002.64412,4016.3663,4092.09555,4160.364925,4235.081475,4301.0851,4409.455115,4491.36022,4546.53185,4531.429035,4544.159415,4559.709585,4562.891325,4536.07425,4536.733835,4550.386,4501.27252,4462.5642,4426.6048,4401.013225,4312.6865,4210.09334,4081.588265,3942.2986,3826.321935,3751.018,3645.6307,3547.339425,3488.176845,3387.071195,3274.45753
20170109,3274.45753,3123.927275,3067.265665,2987.55905,2928.60186,2897.43692,2879.390435,2834.35844,2808.54561,2831.184585,2786.49801,2741.639485,2739.302485,2700.486815,2715.0772,2731.082515,2706.3258,2717.946485,2657.73976,2695.013865,2696.6339,2713.55188,2754.431045,2832.40885,2887.793565,3038.125555,3161.2713,3256.23729,3378.531455,3467.56745,3577.471525,3693.883385,3790.2359,4052.80108,4235.65955,4385.931975,4524.70085,4636.79325,4686.62227,4753.42798,4868.45835,4899.4673,4948.894185,4932.7192,4950.774235,4979.822575,4963.36525,4900.276225,4797.1599,4747.53285,4689.246835,4656.258465,4593.449025,4608.9915,4599.851265,4574.362765,4524.8367,4568.6621,4580.779825,4588.48005,4561.0355,4541.5396,4496.427425,4518.01285,4548.35927,4613.36093,4671.8055,4682.69193,4715.71355,4763.49665,4756.6063,4740.866035,4754.6721,4753.76333,4818.757675,4776.0756,4746.865,4721.272665,4747.545675,4714.3541,4705.579615,4679.580775,4663.708175,4611.686365,4552.05705,4514.799,4407.38117,4286.55542,4173.5343,4036.66552,3933.960165,3839.24412,3693.20955,3609.26432,3523.15157,3426.92132,3308.46145
20170110,3308.46145,3195.060615,3111.639215,3077.4813,3009.1649,2978.04727,2950.389255,2915.04764,2877.31725,2866.019185,2842.78988,2831.4256,2798.82616,2756.246685,2767.476825,2775.444,2771.94876,2761.550725,2756.61728,2755.98382,2761.166165,2776.39704,2814.117075,2884.0974,2975.18549,3079.672,3181.1814,3290.61703,3418.15472,3502.73189,3616.61751,3730.783,3830.490915,4073.077215,4246.39512,4423.624935,4540.5744,4646.30161,4746.78615,4771.147285,4850.849815,4856.452915,4817.241285,4902.56411,4863.34963,4909.67885,4943.009125,4871.62318,4751.9532,4719.49455,4686.831935,4614.82925,4537.648115,4587.27735,4554.832,4575.872125,4507.19843,4475.3645,4438.4722,4494.854985,4465.337725,4486.24105,4455.4012,4476.53642,4462.87105,4534.49345,4583.0831,4526.493975,4579.50445,4614.58035,4615.54935,4623.37355,4672.079575,4728.13328,4813.9483,4811.64797,4714.692775,4752.28,4757.64465,4716.56475,4687.131185,4690.338765,4655.011115,4596.76975,4556.31457,4481.40232,4406.29855,4330.0316,4212.3456,4080.3925,3987.9993,3828.21291,3736.31333,3636.093935,3547.42711,3415.75654,3312.149445
