日期,max_temp,min_temp,ave_temp,T0100
20170101,7,-1,3,2998.09683
20170102,9,1,5,2859.15097
20170103,9,-1,4,2910.744995
20170104,8,3,5.5,2988.548285
20170105,7,2,4.5,3017.66132
20170106,4,0,2,3002.88711
20170107,6,-2,2,3026.86188
20170108,6,-2,2,3049.11221
20170109,4,-3,0.5,2928.60186
20170110,5,-3,1,3009.1649
20170111,6,-3,1.5,2999.464735
20170112,8,-4,2,3109.93805
20170113,9,-3,3,3054.844225
20170114,5,-3,1,3021.83638
20170115,4,-2,1,3082.82676
20170116,5,-2,1.5,2993.34607
20170117,5,-1,2,3045.3295
20170118,5,-1,2,3035.20573
20170119,5,-5,0,3046.542175
20170120,4,-5,-0.5,3070.95765
20170121,8,-5,1.5,3069.20509
20170122,9,-4,2.5,2887.90652
20170123,10,-2,4,2813.017925
20170124,9,-2,3.5,2742.935285
20170125,9,-1,4,2677.70743
20170126,10,-2,4,2582.762625
20170127,6,-1,2.5,2327.57448
20170128,5,-1,2,2421.701715
20170129,4,-5,-0.5,2192.88215
20170130,4,-3,0.5,2258.383985
20170131,4,-3,0.5,2350.32299
20170201,3,-2,0.5,2442.56989
20170202,4,-3,0.5,2408.00737
20170203,9,-1,4,2512.35385
20170204,12,-1,5.5,2606.6689
20170205,10,2,6,2660.713925
20170206,6,0,3,2638.1633
20170207,3,-3,0,2771.195505
20170208,7,-2,2.5,2871.84772
20170209,6,-4,1,2892.73024
20170210,8,-4,2,2874.30594
20170211,10,-3,3.5,2880.9947
20170212,12,-1,5.5,2767.8991
20170213,11,1,6,2693.13847
20170214,12,1,6.5,2784.72303
20170215,15,4,9.5,2806.32432
20170216,17,3,10,2736.92587
20170217,12,1,6.5,2667.60399
20170218,17,3,10,2716.38421
20170219,17,5,11,2696.58146
20170220,9,1,5,2567.36436
20170221,3,0,1.5,2789.09835
20170222,7,-2,2.5,2938.62531
20170223,8,-2,3,2850.37715
20170224,10,-1,4.5,2883.13657
20170225,12,1,6.5,2849.14861
20170226,13,0,6.5,2802.62274
20170227,14,3,8.5,2687.735535
20170228,16,3,9.5,2785.381665
20170301,10,-1,4.5,2743.13013
20170302,14,1,7.5,2735.655815
20170303,17,4,10.5,2712.92545
20170304,16,3,9.5,2699.850125
20170305,16,3,9.5,2626.572825
20170306,13,1,7,2571.25176
20170307,15,1,8,2691.00952
20170308,13,1,7,2691.210635
20170309,15,4,9.5,2727.70517
20170310,14,6,10,2719.96039
20170311,13,7,10,2730.76854
20170312,9,4,6.5,2635.525435
20170313,5,-1,2,2622.53295
20170314,8,4,6,2796.11182
20170315,9,1,5,2826.542505
20170316,15,4,9.5,2862.85958
20170317,14,4,9,2857.51089
20170318,13,7,10,2761.0895
20170319,10,5,7.5,2531.830465
20170320,17,6,11.5,2520.8744
20170321,17,8,12.5,2542.343545
20170322,14,6,10,2566.979135
20170323,12,6,9,2504.23572
20170324,17,6,11.5,2662.63682
20170325,17,3,10,2648.371335
20170326,18,3,10.5,2505.508815
20170327,19,9,14,2412.526425
20170328,19,7,13,2390.222515
20170329,19,11,15,2410.43576
20170330,17,7,12,2427.16811
20170331,19,8,13.5,2385.25962
20170401,20,4,12,2339.13085
20170402,24,11,17.5,2332.337875
20170403,15,11,13,2163.450865
20170404,20,10,15,2086.53098
20170405,23,10,16.5,2049.505775
20170406,24,11,17.5,2230.30835
20170407,21,12,16.5,2217.03115
20170408,18,11,14.5,2252.005875
20170409,12,9,10.5,2269.143875
20170410,12,5,8.5,2212.7248
20170411,20,9,14.5,2343.214425
20170412,22,10,16,2292.69295
20170413,24,11,17.5,2204.31635
20170414,28,12,20,2215.81135
20170415,26,14,20,2203.148135
20170416,18,11,14.5,2150.87239
20170417,29,13,21,2090.2356
20170418,27,12,19.5,2231.773155
20170419,25,8,16.5,2182.2298
20170420,22,10,16,2193.51751
20170421,22,6,14,2164.04832
20170422,23,11,17,2214.307405
20170423,28,14,21,2146.638905
20170424,28,16,22,2125.724465
20170425,21,9,15,2134.61637
20170426,20,11,15.5,2176.496835
20170427,26,12,19,2154.144285
20170428,27,11,19,2171.69164
20170429,28,13,20.5,2195.3265
20170430,30,15,22.5,2109.56962
20170501,29,13,21,2045.498865
20170502,26,17,21.5,2009.31821
20170503,18,11,14.5,2091.044905
20170504,22,12,17,2087.3514
20170505,21,10,15.5,2147.442985
20170506,23,11,17,2144.03125
20170507,21,12,16.5,2106.763035
20170508,29,13,21,2020.66368
20170509,30,16,23,2121.3101
